#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.013944,3,1,0,553
0.008092,4,1,0,724
0.932919,5,1,0,842
1.337527,6,1,0,973
1.073548,7,1,0,1145
1.275658,8,1,0,1348
2.421852,9,1,0,1537
2.210965,10,1,0,1690
1.728154,11,1,0,1861
9.950464,12,1,0,1573
8.235735,13,1,0,1788
3.265957,14,1,0,1928
3.040070,16,1,0,2271
3.137477,17,1,0,2516
0.000000,18,1,0,2735
4.264117,19,1,0,2967
2.873775,20,1,0,3136
6.279491,22,1,0,3526
6.829449,23,1,0,3766
8.408586,24,1,0,3951
0.000000,26,1,0,4350
20.310774,27,1,0,4451
17.307112,28,1,0,4603
6.273509,30,1,0,4935
0.000000,31,1,0,4989
7.743017,32,1,0,5190
8.865137,32,3,0,5518
8.574085,3,1,0,404
0.000000,4,1,0,470
8.876175,5,1,0,592
9.781186,3,1,0,427
9.574280,4,1,0,550
0.000000,5,1,0,695
6.767209,6,1,0,790
0.004333,7,1,0,929
0.003370,8,1,0,1122
0.003648,9,1,0,1228
0.003481,10,1,0,1387
0.004648,11,1,0,1604
0.301627,12,1,0,1759
0.435274,13,1,0,1949
0.521385,14,1,0,2092
0.005074,15,1,0,2216
0.002963,16,1,0,2361
0.945585,17,1,0,2529
1.578859,18,1,0,2622
1.079566,18,1,0,2635
1.175917,20,1,0,2979
6.607024,21,1,0,3163
7.956589,22,1,0,3443
2.576092,20,3,0,3395
2.085058,20,5,0,3436
2.914034,26,1,0,3715
3.609436,27,1,0,3885
3.328512,25,3,0,3844
5.286554,26,3,0,4062
4.714835,26,4,0,4231
11.220879,2,29,0,1714
3.493177,680119136,682300448,20,-974442180
6.657006,65535,65535,21,1080419408
5.581366,27,20,22,6047314
0.000000,65535,65535,23,1081975322
4.560706,680119360,682300672,21,-640465523
4.117858,65535,65535,22,1081299081
6.962059,874520864,875080304,23,-354605126
4.812816,65535,65535,22,-1055091639
0.000000,69,85,23,69
3.104625,0,0,23,0
0.000000,1,1,288,1
12.356222,65535,65535,0,65535
5.870141,671285488,673772208,69,671269648
5.388904,65535,65535,0,65535
4.959426,681016832,0,0,673595120
5.147702,65535,0,65520,65535
0.000000,681016896,0,894730800,675663168
10.395977,65535,0,65535,65535
0.006445,804530,975469,0,203194
0.003648,65535,65535,0,65535
