#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
30.877043,0.046111,0.231630,0.011500,0.011500,31.179247
37.983710,0.109204,0.654964,0.003778,0.003778,38.755082
25.190732,0.199408,1.995209,0.318779,0.318779,221.843055
25.683252,0.112593,0.930595,0.268816,0.268816,241.025974
24.464507,0.147945,1.489689,0.971150,0.971150,195.095280
19.645291,0.333279,2.057728,0.526168,0.526168,303.818265
28.361665,0.174093,4.030270,0.841983,0.841983,85.877757
19.233512,0.098593,2.203617,0.593761,0.593761,197.737767
22.370299,0.108815,2.436117,2.333525,2.333525,329.742015
25.434972,0.288575,4.537956,1.443263,1.443263,350.651916
27.081644,0.171259,4.811124,1.403615,1.403615,229.828810
17.799416,0.100778,2.958340,0.000000,0.000000,20.859868
25.094731,0.250037,6.015275,1.467337,1.467337,140.900749
16.932728,0.297242,0.003296,0.000000,0.000000,17.234192
20.277200,0.167686,4.998420,1.346763,1.346763,37.022076
29.424038,0.210297,6.085608,1.343189,1.343189,98.812179
26.752142,0.749632,5.411032,1.558615,1.558615,43.683852
30.854283,0.487631,6.041849,1.539818,1.539818,85.979942
22.691854,0.305631,5.291717,1.692430,1.692430,119.388916
22.082945,0.367612,7.891872,2.140599,2.140599,108.319721
26.550938,0.257834,6.966481,2.032357,2.032357,115.718221
26.881680,0.190574,0.286946,0.004092,0.004092,27.367200
24.061709,0.208445,0.685798,0.002500,0.002500,24.960656
24.433728,0.148704,1.162707,0.138889,0.138889,156.861083
22.456354,0.186130,1.483689,0.169556,0.169556,209.616533
18.820752,0.131537,1.433670,0.161519,0.161519,50.151313
18.101305,0.177686,2.162487,0.413038,0.413038,152.579369
22.505946,0.143889,2.511007,0.250760,0.250760,354.795049
27.158125,0.181722,2.582618,0.484001,0.484001,176.780171
16.979191,0.159427,2.714210,0.572520,0.572520,360.196302
30.551800,0.213056,5.596440,0.724057,0.724057,185.212655
22.590853,0.131019,4.821309,1.156429,1.156429,42.073310
22.382835,0.159871,5.492069,0.995743,0.995743,106.838253
20.947571,0.133408,7.073259,2.229154,2.229154,467.248535
21.108054,0.301926,8.578985,1.228577,1.228577,241.070111
26.796031,0.180575,7.803279,1.614801,1.614801,718.772486
24.372617,0.369723,5.540496,1.533152,1.533152,439.846575
