#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,30.019170,4.204974,0.000000,22.136835,7.219111,0.025908,36.160130
0.000000,0.000000,41.087218,3.017415,0.000000,7.545242,6.694092,0.025167,75.917641
0.000000,0.000000,35.341147,2.076728,0.000000,6.576536,6.783332,0.036222,52.923952
0.000000,0.000000,30.709283,2.192746,0.000000,5.998979,4.562493,0.295612,47.466641
0.000000,0.000000,27.544719,2.330394,0.000000,10.619472,11.832678,0.040833,41.849849
0.000000,0.000000,37.113299,2.407692,0.000000,7.159204,7.447315,0.291779,63.192145
0.000000,0.000000,33.892569,2.090635,0.000000,9.307968,10.192008,0.031278,51.958986
0.000000,0.000000,45.099302,2.510821,0.000000,8.007095,8.616115,0.026056,68.236843
0.000000,0.000000,33.168122,2.206784,0.000000,8.358447,9.420451,0.033463,53.079378
0.000000,0.000000,31.005840,2.287783,0.000000,8.918208,9.253172,0.058963,52.235505
0.000000,0.000000,31.727415,2.500673,0.000000,8.993209,9.989359,0.063445,53.768435
0.000000,0.000000,29.791596,2.338543,0.000000,7.592260,8.859838,0.030685,53.560119
0.000000,0.000000,33.373105,2.285969,0.000000,7.838909,10.422545,0.035019,53.353415
0.000000,0.000000,34.556293,2.588470,0.000000,7.808594,7.997465,0.032167,56.717202
0.000000,0.000000,28.167387,2.252691,0.000000,7.603705,8.403837,0.048000,47.156733
0.000000,0.000000,25.514214,2.306636,0.000000,7.350093,8.890819,0.037222,45.060672
0.000000,0.000000,26.294846,2.346061,0.000000,8.066206,8.986801,0.091056,46.180916
0.000000,0.000000,31.734101,2.290562,0.000000,7.057056,7.103870,0.031278,53.463897
0.000000,0.000000,28.782278,2.128709,0.000000,8.095002,8.332966,0.028333,46.070675
0.000000,0.000000,31.445396,2.381061,0.000000,9.172412,8.314651,0.033963,51.738541
0.000000,0.000000,28.641630,2.949675,0.000000,7.221037,7.009093,0.030444,50.253149
0.000000,0.000000,26.483254,2.153635,0.000000,5.943793,6.954333,0.033371,43.974317
0.000000,0.000000,31.296285,2.084783,0.000000,6.928518,7.403223,0.041796,47.242751
0.000000,0.000000,25.953419,2.484229,0.000000,5.772885,7.572816,0.095518,43.969817
0.000000,0.000000,30.802283,2.133968,0.000000,6.139387,6.174164,0.032407,48.423533
0.000000,0.000000,29.214538,2.240154,0.000000,7.417056,7.210852,0.296093,44.837320
0.000000,0.000000,29.319891,2.317025,0.000000,7.865094,10.690416,0.031519,47.665716
0.000000,0.000000,30.933043,2.305636,0.000000,6.837536,9.205024,0.033074,53.024989
0.000000,0.000000,33.437827,2.259654,0.000000,6.862351,7.907594,0.055445,52.874914
0.000000,0.000000,32.512973,2.192061,0.000000,10.719046,7.137222,0.033074,52.227580
0.000000,0.000000,43.444519,2.774748,0.000000,8.466874,10.520064,0.034352,65.235039
0.000000,0.000000,28.837704,2.428081,0.000000,8.011539,8.754726,0.025315,51.520244
0.000000,0.000000,27.863942,2.335431,0.000000,9.138543,7.895761,0.039074,47.985327
0.000000,0.000000,26.988847,2.327876,0.000000,7.103352,9.171542,0.029759,47.742327
0.000000,0.000000,29.002686,2.251931,0.000000,8.532652,8.179336,0.031223,48.581459
0.000000,0.000000,24.773360,2.626396,0.000000,6.326535,8.725060,0.055056,45.566988
0.000000,0.000000,25.244195,2.545914,0.000000,6.701647,8.207854,0.034240,44.552986
0.000000,0.000000,26.838495,2.959359,0.000000,6.951110,9.726321,0.033056,45.907359
0.000000,0.000000,29.408632,2.286728,0.000000,7.443093,8.690245,0.032741,49.557442
0.000000,0.000000,29.223316,2.456988,0.000000,10.226489,9.114801,0.025093,48.857404
0.000000,0.000000,26.046715,2.310617,0.000000,9.195394,10.662453,0.049408,48.756700
0.000000,0.000000,27.285552,2.460432,0.000000,7.939614,8.774430,0.028556,51.028687
0.000000,0.000000,28.308221,2.251025,0.000000,7.191148,9.275228,0.030463,48.328977
0.000000,0.000000,25.412991,2.291024,0.000000,5.432162,7.386316,0.029926,45.283135
0.000000,0.000000,28.150813,2.094209,0.000000,6.722628,9.804840,0.037908,44.094299
0.000000,0.000000,23.460135,2.095320,0.000000,5.963645,7.588372,0.030518,43.286426
0.000000,0.000000,28.321017,2.115838,0.000000,6.214368,6.509795,0.033611,45.070431
0.000000,0.000000,24.907398,2.118931,0.000000,4.912087,4.918938,0.025649,40.902791
0.000000,0.000000,27.677812,2.243395,0.000000,4.938013,6.116738,0.355112,40.849883
0.000000,0.000000,27.084532,2.171561,0.000000,6.480516,7.239556,0.033666,41.838497
0.000000,0.000000,35.890759,2.295524,0.000000,10.784361,9.841618,0.047352,53.014192
0.000000,0.000000,30.010670,3.379435,0.000000,7.881372,8.043521,0.038389,55.297920
0.000000,0.000000,45.840211,3.180231,0.000000,6.345961,6.288294,0.328723,66.238393
0.000000,0.000000,30.193578,3.380916,0.000000,7.384963,11.726419,0.042907,47.930845
0.000000,0.000000,29.887373,2.214746,0.000000,11.023584,14.156499,0.044000,52.618450
0.000000,0.000000,38.279877,3.294453,0.000000,11.208474,7.459167,0.026241,68.037731
0.000000,0.000000,40.824957,2.807581,0.000000,18.481641,12.082198,0.058407,63.624886
0.000000,0.000000,30.172319,8.312373,0.000000,18.178510,8.565948,0.060870,70.722738
0.000000,0.000000,45.416284,3.222323,0.000000,8.466837,10.532231,0.047500,77.232033
0.000000,0.000000,30.294708,2.366969,0.000000,8.917337,12.693255,0.048834,53.234581
0.000000,0.000000,35.741999,3.169453,0.000000,12.300828,9.827637,0.056315,61.998067
0.000000,0.000000,36.874391,3.185786,0.000000,7.090167,10.389230,0.041575,63.765145
0.000000,0.000000,30.690319,2.351469,0.000000,9.127431,11.648641,0.062982,51.846837
0.000000,0.000000,31.498841,3.635454,0.000000,7.386279,8.502948,0.063260,57.234740
0.000000,0.000000,37.406281,2.888229,0.000000,4.187622,5.916996,0.048852,58.395891
0.000000,0.000000,35.792444,2.515080,0.000000,6.136201,5.776830,0.043908,49.635331
0.000000,0.000000,29.994448,3.474675,0.000000,5.533311,8.241873,0.067000,46.936120
0.000000,0.000000,33.804624,2.753989,0.000000,7.056445,9.273969,0.070055,52.232765
0.000000,0.000000,36.577835,3.017101,0.000000,7.483390,12.587458,0.064278,57.601352
0.000000,0.000000,67.592341,3.446805,0.000000,6.127367,7.896705,0.074315,95.080837
0.000000,0.000000,32.322694,2.642674,0.000000,7.711834,10.358489,0.076241,51.219539
0.000000,0.000000,57.617204,3.013452,0.000000,7.974132,5.673199,0.055260,81.028838
0.000000,0.000000,30.095596,2.203321,0.000000,8.218780,9.246579,0.049148,47.347178
0.000000,0.000000,42.981240,4.007603,0.000000,10.351416,7.882465,0.042241,66.065614
0.000000,0.000000,47.579012,3.285916,0.000000,5.060864,7.594445,0.104334,70.557367
0.000000,0.000000,31.882822,2.220061,0.000000,4.706642,6.298646,0.032889,48.690922
0.000000,0.000000,30.790172,2.237247,0.000000,4.064584,5.620792,0.037148,45.129801
0.000000,0.000000,26.370901,2.115542,0.000000,5.907349,5.435681,0.036926,39.399508
0.000000,0.000000,25.570714,2.138487,0.000000,7.605482,8.313855,0.445186,40.454197
0.000000,0.000000,35.551036,3.355767,0.000000,6.758498,6.144515,0.668576,56.599942
0.000000,0.000000,38.141747,2.368876,0.000000,8.552559,9.070153,0.052166,55.983089
0.000000,0.000000,31.911397,2.709044,0.000000,8.517633,11.971382,0.050686,53.728935
0.000000,0.000000,37.011780,3.164786,0.000000,6.868018,7.453852,0.756539,62.145660
0.000000,0.000000,43.853576,2.785359,0.000000,8.240058,7.267111,0.042259,63.888757
0.000000,0.000000,34.659885,2.612803,0.000000,5.857090,8.582040,0.042149,54.253343
0.000000,0.000000,37.072725,2.207154,0.000000,8.454541,11.903827,0.055667,54.967734
0.000000,0.000000,40.877383,2.946822,0.000000,10.057952,9.989526,0.120815,66.430244
0.000000,0.000000,42.925777,3.111860,0.000000,8.056021,11.532363,0.056334,68.030694
0.000000,0.000000,42.856203,2.909452,0.000000,6.445868,8.050206,0.037777,66.748228
0.000000,0.000000,45.157338,2.570174,0.000000,7.372037,7.998798,0.037222,63.529108
0.000000,0.000000,29.757299,2.712729,0.000000,7.671038,7.583186,0.042556,49.269774
0.000000,0.000000,36.063741,2.559803,0.000000,5.968071,9.027967,0.075592,55.309290
0.000000,0.000000,28.870389,2.643859,0.000000,8.840541,12.329531,0.052018,48.326754
0.000000,0.000000,42.288275,3.184934,0.000000,5.196717,8.274002,0.039722,68.205342
0.000000,0.000000,32.420250,2.244099,0.000000,7.659779,7.818724,0.030018,49.415627
0.000000,0.000000,27.262515,2.437636,0.000000,8.790004,11.099399,0.045685,46.393638
0.000000,0.000000,37.592634,3.472324,0.000000,10.195285,9.343191,0.033907,62.302530
0.000000,0.000000,37.822097,3.211230,0.000000,5.410792,6.216461,0.053389,61.847529
0.000000,0.000000,29.107001,2.441562,0.000000,5.802867,9.766025,0.041278,44.436633
0.000000,0.000000,32.515768,2.721081,0.000000,4.794679,7.191537,0.042111,52.256523
0.000000,0.000000,28.402481,2.253636,0.000000,6.724610,7.319592,0.042871,44.013705
0.000000,0.000000,30.467578,2.486636,0.000000,7.461538,9.986489,0.060723,48.225087
0.000000,0.000000,30.450133,2.661636,0.000000,9.999192,10.877084,0.043593,52.285171
0.000000,0.000000,38.174579,3.259786,0.000000,7.666020,8.168355,0.047389,63.765423
0.000000,0.000000,43.107111,3.940084,0.000000,7.518649,10.302730,0.069889,64.746480
0.000000,0.000000,37.616930,3.263509,0.000000,4.948476,9.968563,0.039797,60.413396
0.000000,0.000000,30.719524,2.418192,0.000000,6.427109,7.532408,0.041167,49.375256
0.000000,0.000000,30.599264,2.530395,0.000000,6.719684,7.950594,0.048722,48.455217
0.000000,0.000000,30.510448,2.955878,0.000000,10.436768,11.440270,0.052259,49.433127
0.000000,0.000000,36.856131,3.593250,0.000000,7.937483,10.765916,0.047371,64.198368
0.000000,0.000000,40.838957,3.055397,0.000000,5.283810,6.634499,0.040648,63.938664
0.000000,0.000000,31.282451,2.970452,0.000000,6.372980,10.701157,0.080481,47.788549
0.000000,0.000000,35.062757,2.215895,0.000000,7.507593,10.413989,0.052778,55.901439
0.000000,0.000000,40.095103,3.271842,0.000000,5.645551,8.249725,0.045741,62.853458
0.000000,0.000000,34.588774,2.208098,0.000000,5.178199,6.215090,0.069630,52.039392
0.000000,0.000000,30.826208,2.338358,0.000000,6.812295,6.731110,0.035815,46.171341
0.000000,0.000000,32.364843,2.227950,0.000000,5.428958,7.410871,0.043370,49.374793
0.000000,0.000000,32.967566,2.408636,0.000000,8.171817,11.487862,0.054574,49.596997
0.000000,0.000000,39.635639,2.985970,0.000000,4.485215,6.166608,0.037815,63.666756
0.000000,0.000000,40.037548,2.151876,0.000000,4.571642,6.108534,0.041296,54.043879
0.000000,0.000000,32.223601,2.263395,0.000000,9.089171,10.245026,0.050537,46.334730
0.000000,0.000000,37.748616,3.404750,0.000000,7.910002,9.372284,0.060593,62.175511
0.000000,0.000000,38.186394,3.872917,0.000000,7.702298,10.174730,0.050130,61.292416
0.000000,0.000000,37.363263,4.388770,0.000000,8.169021,9.059375,0.051611,61.064934
0.000000,0.000000,32.000693,3.251138,0.000000,9.168912,11.694048,0.065037,53.865341
0.000000,0.000000,40.720086,3.162878,0.000000,6.212645,7.851946,0.043278,66.641541
0.000000,0.000000,27.897794,2.466987,0.000000,5.656700,7.830927,0.043001,45.886618
0.000000,0.000000,31.619785,2.337451,0.000000,7.146445,6.291905,0.040815,48.747828
0.000000,0.000000,28.494832,2.395987,0.000000,5.763533,6.870536,0.058945,45.704302
0.000000,0.000000,30.013243,2.382098,0.000000,5.270292,7.165722,0.039204,46.549582
0.000000,0.000000,30.175800,2.183209,0.000000,6.212775,9.630210,0.406260,46.027192
0.000000,0.000000,30.917950,2.374562,0.000000,11.570529,11.079751,0.045130,50.894037
0.000000,0.000000,42.226404,3.372953,0.000000,6.593906,7.493296,2.050634,69.914772
0.000000,0.000000,46.391342,2.361432,0.000000,9.763933,9.844174,0.043704,67.220690
0.000000,0.000000,45.528024,3.768213,0.000000,11.125881,12.968404,0.057852,70.420106
0.000000,0.000000,43.969020,4.795253,0.000000,8.298077,9.179171,0.039833,75.357952
0.000000,0.000000,43.326166,3.155138,0.000000,6.730314,8.271780,0.090722,65.408853
0.000000,0.000000,35.066608,2.434655,0.000000,8.334170,11.669511,0.060704,55.175290
0.000000,0.000000,37.656837,2.966581,0.000000,8.455873,11.221232,0.036723,62.361974
0.000000,0.000000,40.141954,2.889118,0.000000,5.783163,8.388281,0.038075,63.990849
0.000000,0.000000,32.640880,2.494413,0.000000,8.604114,11.341825,0.080945,50.894556
