datetime,timestamp,tracking_time_ms,fps,keypoints,map_points,x,y,z,qx,qy,qz,qw,tracking_state
2026-06-11 18:05:05,0.000000,36.160130,27.654768,1208,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2
2026-06-11 18:05:06,1.000263,46.180916,21.653966,1203,105,-0.000061,0.000826,-0.000519,0.002567,0.000169,-0.000396,0.999997,2
2026-06-11 18:05:07,2.033847,48.581459,20.583985,1203,103,0.000112,0.001479,-0.001632,0.004864,-0.000205,-0.001421,0.999987,2
2026-06-11 18:05:08,3.034089,47.930845,20.863392,1209,64,-0.001570,-0.001505,-0.004856,0.005068,-0.001394,0.000524,0.999986,2
2026-06-11 18:05:09,4.067630,57.601352,17.360704,1208,77,-0.004181,-0.000361,-0.006145,0.006011,0.006751,-0.007157,0.999934,2
2026-06-11 18:05:10,5.067852,54.253343,18.432044,1209,100,-0.005258,0.003663,-0.004460,0.011886,0.005805,-0.009027,0.999872,2
2026-06-11 18:05:11,6.068077,52.256523,19.136367,1207,90,-0.005339,0.004531,-0.005676,0.016052,0.005611,-0.010459,0.999801,2
2026-06-11 18:05:12,7.101718,55.901439,17.888627,1203,91,-0.005110,0.004274,-0.005878,0.015131,0.004816,-0.011029,0.999813,2
2026-06-11 18:05:13,8.101965,46.549582,21.482470,1204,82,-0.005187,0.004738,-0.006302,0.016916,0.005527,-0.009935,0.999792,2
2026-06-11 18:05:14,9.135955,48.084030,20.796926,1205,95,-0.004875,0.005271,-0.006543,0.018322,0.005321,-0.010441,0.999763,2
2026-06-11 18:05:15,10.169658,57.814037,17.296837,1206,36,0.069859,0.041123,-0.005724,-0.051053,-0.027304,-0.000269,0.998323,2
2026-06-11 18:05:16,11.203849,62.348863,16.038785,1203,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3
2026-06-11 18:05:17,12.204512,65.713371,15.217603,1205,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3
2026-06-11 18:05:18,13.237998,64.027126,15.618380,1211,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3
2026-06-11 18:05:19,14.238065,65.495444,15.268238,1207,59,0.000093,0.001368,0.000388,0.004411,0.000415,-0.004201,0.999981,2
2026-06-11 18:05:20,15.238120,71.765478,13.934276,1203,84,0.000489,0.006649,-0.001916,0.018989,-0.006553,0.002278,0.999796,2
2026-06-11 18:05:21,16.271533,73.642909,13.579040,1210,105,0.002569,0.008030,-0.002181,0.027993,-0.013338,0.026202,0.999176,2
2026-06-11 18:05:22,17.304934,40.379231,24.765207,1205,53,0.002719,0.006792,0.000830,0.036057,-0.007907,0.027337,0.998944,2
2026-06-11 18:05:23,18.304969,50.533794,19.788738,1211,32,-0.001680,-0.007692,0.000075,0.042643,0.023571,0.010874,0.998753,2
